"ano","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2012,"Condeúba","BA","Sociedade de economia mista com administracao publica",9414,NA,7693,417.92,405.87,448.3,NA,NA,NA,983248.36,983248.36,NA,968455.01,96484.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Contendas do Sincorá","BA","Sociedade de economia mista com administracao publica",3038,NA,2138,148.93,137.06,80.78,NA,NA,NA,354898.88,354898.88,NA,374698.92,33069.68,8630.18,NA,9600.29,NA,NA,NA,NA,NA,NA
2013,"Guaratinga","BA","Sociedade de economia mista com administracao publica",10758,NA,10622,418.02,506.43,239.07,NA,NA,NA,1357370.04,1357370.04,NA,1233096.06,40960.19,5069.65,NA,20330.81,NA,NA,NA,NA,NA,NA
2012,"Itagi","BA","Sociedade de economia mista com administracao publica",11324,NA,10018,493.79,470.62,73.15,NA,NA,NA,983950.91,983950.91,NA,989539.47,22414.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Itagibá","BA","Sociedade de economia mista com administracao publica",7751,NA,9872,327.86,359.33,204.23,NA,NA,NA,1082381.78,1082381.78,NA,1026319,63893.15,14609.14,NA,18197.8,NA,NA,NA,0,NA,0
2014,"Itamari","BA","Sociedade de economia mista com administracao publica",5328,NA,6305,228.81,234.35,532.22,NA,NA,NA,542803.76,542803.76,NA,489925.1,60322.24,19994.85,NA,22242.45,NA,NA,NA,NA,NA,NA
2013,"Itanagra","BA","Sociedade de economia mista com administracao publica",3595,NA,2457,142.72,168.88,85.09,NA,NA,NA,444603.1,444603.1,NA,400698.89,23618.32,583.65,NA,6270.58,NA,NA,NA,NA,NA,NA
2012,"Itapitanga","BA","Sociedade de economia mista com administracao publica",8576,NA,7572,308.75,351.61,113.14,NA,NA,NA,795573.48,795573.48,NA,806216.52,35635.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Iuiú","BA","Sociedade de economia mista com administracao publica",6245,NA,5315,211.34,239.8,148.22,NA,NA,NA,583990.48,583990.48,NA,640816.06,58819.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lapão","BA","Sociedade de economia mista com administracao publica",26445,NA,10713,1184.05,1112.73,3215.94,NA,NA,NA,2492139.47,2492139.47,NA,2514520.55,616103.28,20302.36,NA,57052.97,NA,NA,NA,NA,NA,NA
2015,"Manoel Vitorino","BA","Sociedade de economia mista com administracao publica",6880,NA,7411,235.88,293.98,775.34,NA,NA,NA,750572.64,750572.64,NA,759346.68,235836.54,312348.58,NA,593887.5,NA,NA,NA,0,NA,0
2014,"Manoel Vitorino","BA","Sociedade de economia mista com administracao publica",6821,NA,7477,225.14,290.13,864.45,NA,NA,NA,669013.35,669013.35,NA,739472.74,200427.33,21552.06,NA,23974.71,NA,NA,NA,NA,NA,NA
2013,"Maraú","BA","Sociedade de economia mista com administracao publica",3386,NA,3918,142.45,145.09,110.23,NA,NA,NA,375141.68,375141.68,NA,414023.08,18962.31,2147.09,NA,5990.97,NA,NA,NA,NA,NA,NA
