"ano","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2005,"Zé Doca","MA","Sociedade de economia mista com administracao publica",NA,0,32199,NA,NA,NA,0,0,0,373856.35,NA,0,445440.77,379078.06,NA,0,66812.64,NA,NA,NA,NA,NA,NA
2005,"Bocaina","PI","Sociedade de economia mista com administracao publica",NA,0,1564,NA,NA,NA,0,0,0,129063.15,NA,0,132541.19,25813.42,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Canavieira","PI","Sociedade de economia mista com administracao publica",NA,0,1871,NA,NA,NA,NA,NA,NA,94088.25,NA,0,89184.62,32077.49,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"Cristino Castro","PI","Sociedade de economia mista com administracao publica",NA,0,6501,NA,NA,NA,NA,NA,NA,265030,NA,0,247911.67,75715,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Ilha Grande","PI","Sociedade de economia mista com administracao publica",NA,0,7137,NA,NA,NA,NA,NA,NA,284624.68,NA,0,289561.43,4.48,NA,0,0,NA,NA,NA,NA,NA,NA
2003,"Jaicós","PI","Sociedade de economia mista com administracao publica",NA,0,7648,NA,NA,NA,0,0,0,340330,NA,0,351450,89992,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Jerumenha","PI","Sociedade de economia mista com administracao publica",NA,0,2778,NA,NA,NA,NA,NA,NA,128665.25,NA,0,134387.14,44300.99,NA,0,16388,NA,NA,NA,NA,NA,NA
2006,"Joaquim Pires","PI","Sociedade de economia mista com administracao publica",NA,0,3732,NA,NA,NA,NA,NA,NA,217233.62,NA,0,228746.16,32837.9,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Palmeirais","PI","Sociedade de economia mista com administracao publica",NA,0,4624,NA,NA,NA,NA,NA,NA,354551.83,NA,0,351687.31,64496.86,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"São José do Piauí","PI","Sociedade de economia mista com administracao publica",NA,0,1924,NA,NA,NA,NA,NA,NA,100295,NA,0,101323.19,64279,NA,0,0,NA,NA,NA,NA,NA,NA
1999,"Carolina","MA","Autarquia",NA,750,13737,NA,NA,NA,NA,NA,NA,392182.6,NA,0,427242.04,49456.86,NA,0,6652.14,NA,NA,NA,NA,NA,NA
2009,"Pintadas","BA","Administracao publica direta",NA,3742,5225,NA,NA,NA,50,NA,0,0,NA,0,0,3884,NA,14000,NA,NA,NA,NA,NA,0,0
2003,"Coronel João Sá","BA","Sociedade de economia mista com administracao publica",NA,0,5758,NA,NA,NA,0,0,0,294243.44,NA,0,254733,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Formosa do Rio Preto","BA","Sociedade de economia mista com administracao publica",NA,0,10465,NA,NA,NA,NA,NA,NA,661124.53,NA,0,690958.75,81514.97,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Ibirapitanga","BA","Sociedade de economia mista com administracao publica",NA,0,5389,NA,NA,NA,NA,NA,NA,510468.69,NA,0,447960.46,71116.95,NA,0,0,NA,NA,NA,NA,NA,NA
